,,,,,,,,data_referencia;cod_ibge;txt_municipio;mcmv_fgts_txt_uf;txt_regiao;data_assinatura_financiamento;qtd_uh_financiadas;vlr_financiamento;vlr_subsidio_desconto_fgts;vlr_subsidio_desconto_ogu;vlr_subsidio_equilíbrio_fgts;vlr_subsidio_equilíbrio_ogu;vlr_compra;vlr_renda_familiar;txt_programa_fgts;num_taxa_juros;txt_tipo_imovel;bln_cotista;txt_sistema_amortizacao;dte_nascimento;txt_compatibilidade_faixa_renda;txt_nome_empreendimento
02/05/2025;312770;Governador Valadares ;MG;Sudeste;2012-01-18;1;73334,78;7971,974999999999;4006,8070000000007;10917,258;0,0;92000,0;1954,67;Apoio à Produção;5,0;Novo;N;price;;Faixa 2;
02/05/2025;350950;Campinas ;SP;Sudeste;2025-04-08;1;163893,65;2328,0;0,0;10919,96;0,0;264000,0;3039,62;Apoio à Produção;;Novo;;;;Faixa 2;,
02/05/2025;312980;Ibirité ;MG;Sudeste;2018-03-08;1;126400,0;3556,8;395,2;17099,99;1900,0;158000,0;2711,88;Apoio à Produção;5,5;Novo;S;price;1988-09-06;Faixa 2;
02/05/2025;355030;São Paulo ;SP;Sudeste;2019-06-12;1;156951,41;1162,8;129,2;7716,709999999999;857,4100000000001;229792,33;3421,53;Apoio à Produção;6,5;Novo;S;price;1985-07-26;Faixa 2;
02/05/2025;510525;Lucas do Rio Verde ;MT;Centro-Oeste;2015-04-14;1;63567,57000000001;11331,375;2403,625;13199,991749999997;2799,9982500000006;84300,0;1500,93;Apoio à Produção;5,0;Novo;N;price;;Faixa 1;
02/05/2025;432300;Viamão ;RS;Sul;2014-02-24;1;88876,36;8049,525;1707,4750000000004;13199,991749999997;2799,9982500000015;135000,0;1975,29;Carta de Crédito Individual;4,5;Novo;N;price;;Faixa 2;
02/05/2025;261110;Petrolina ;PE;Nordeste;2015-10-30;1;98000,0;1743,225;369,7750000000001;13199,99175;2799,9982500000006;140000,0;2364,0;Carta de Crédito Individual;5,0;Novo;N;price;;Faixa 2;
02/05/2025;520140;Aparecida de Goiânia ;GO;Centro-Oeste;2011-03-10;1;80724,0;2232,0;744,0;0,0;0,0;83700,0;2264,53;Carta de Crédito Individual;4,5;Novo;N;price;;Faixa 2;
02/05/2025;250400;Campina Grande ;PB;Nordeste;2013-05-17;1;78998,19;0,0;0,0;0,0;0,0;114000,0;4758,28;Carta de Crédito Individual;6,66;Novo;N;price;;Faixa 3;
02/05/2025;310620;Belo Horizonte ;MG;Sudeste;2023-09-28;1;124000,0;20303,0;0,0;22091,96;0,0;155000,0;2217,23;Carta de Crédito Individual;4,5;Usado;S;price;1996-03-22;Faixa 1;
